start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1779068940,1779069000,2026-05-18T01:49:00+00:00,2026-05-18T01:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069000,1779069060,2026-05-18T01:50:00+00:00,2026-05-18T01:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069060,1779069120,2026-05-18T01:51:00+00:00,2026-05-18T01:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069120,1779069180,2026-05-18T01:52:00+00:00,2026-05-18T01:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069180,1779069240,2026-05-18T01:53:00+00:00,2026-05-18T01:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069240,1779069300,2026-05-18T01:54:00+00:00,2026-05-18T01:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069300,1779069360,2026-05-18T01:55:00+00:00,2026-05-18T01:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069360,1779069420,2026-05-18T01:56:00+00:00,2026-05-18T01:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069420,1779069480,2026-05-18T01:57:00+00:00,2026-05-18T01:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069480,1779069540,2026-05-18T01:58:00+00:00,2026-05-18T01:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069540,1779069600,2026-05-18T01:59:00+00:00,2026-05-18T02:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069600,1779069660,2026-05-18T02:00:00+00:00,2026-05-18T02:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069660,1779069720,2026-05-18T02:01:00+00:00,2026-05-18T02:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069720,1779069780,2026-05-18T02:02:00+00:00,2026-05-18T02:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069780,1779069840,2026-05-18T02:03:00+00:00,2026-05-18T02:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069840,1779069900,2026-05-18T02:04:00+00:00,2026-05-18T02:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1779069900,1779069960,2026-05-18T02:05:00+00:00,2026-05-18T02:06:00+00:00,,,,,,,,,,,,,,,,,,,,
